11.79.232.102,200906008422,/dev/ttyUSB0
11.79.232.104,200906008445,/dev/ttyUSB0
11.79.232.106,200906008394,/dev/ttyUSB0
11.79.232.108,200906008417,/dev/ttyUSB0
11.79.232.110,200906008443,/dev/ttyUSB0
11.79.232.114,200906008376,/dev/ttyUSB0
11.79.232.116,200906008436,/dev/ttyUSB0
11.79.232.118,200906008433,/dev/ttyUSB0
11.79.232.120,200908011721,/dev/ttyUSB0
11.79.232.122,200906008405,/dev/ttyUSB0
11.79.232.126,200906008487,/dev/ttyUSB0
11.79.232.128,200906008383,/dev/ttyUSB0
11.79.232.130,200906008434,/dev/ttyUSB0
11.79.232.132,200906008385,/dev/ttyUSB0
11.79.232.134,200906008408,/dev/ttyUSB0
